Number	Astronaut	Agency	Total EVAs	Total Time Hours
1	Anatoly Solovyev	RSA	16	82
2	Michael Lopez-Alegria	NASA	10	67
3	Andrew J. Feustel	NASA	9	61
4	Peggy Whitson	NASA	10	60
5	Fyodor Yurchikhin	RSA	9	59
6	Jerry L. Ross	NASA	9	58
7	John M. Grunsfeld	NASA	8	58
8	Richard Mastracchio	NASA	9	53
9	Sunita Williams	NASA	7	50
10	Steven L. Smith	NASA	7	49
11	Michael Fincke	NASA	9	48
12	Michael E. Fossum	NASA	7	48
13	Stephen G. Bowen	NASA	7	47
14	Scott E. Parazynski	NASA	7	47
15	Joseph R. Tanner	NASA	7	46
16	Robert L. Curbeam	NASA	7	45
17	Nikolai Budarin	RSA	8	44
18	Douglas H. Wheelock	NASA	6	43
19	James H. Newman	NASA	6	43
20	Yuri Onufrienko	RSA	8	42
21	Richard Linnehan	NASA	6	42
22	David Wolf	NASA	7	41
23	Talgat Musabayev	RSA	7	41
24	Piers Sellers	NASA	6	41
25	Sergei Krikalev	RSA	8	41
26	Sergei Avdeyev	RSA	8	41
27	Daniel M. Tani	NASA	6	39
28	Robert S. Kimbrough	NASA	6	39
29	Gennady Padalka	RSA	10	38
30	Clayton Anderson	NASA	6	38
