Entity,Code,Year,Book titles per capita (Fink-Jensen 2015) (Unique booktitles per million inhabitants)
United Kingdom,GBR,1500,13.448083546599639
United Kingdom,GBR,1501,2.7830167860695725
United Kingdom,GBR,1502,8.579193215589155
United Kingdom,GBR,1503,5.284888367169292
United Kingdom,GBR,1504,5.27095587168298
United Kingdom,GBR,1505,14.769989975465675
United Kingdom,GBR,1506,6.741469410990718
United Kingdom,GBR,1507,7.720040809560242
United Kingdom,GBR,1508,13.16452896204762
United Kingdom,GBR,1509,13.378246471524196
United Kingdom,GBR,1510,22.486776397140616
United Kingdom,GBR,1511,7.640684179276605
United Kingdom,GBR,1512,8.850384608388888
United Kingdom,GBR,1513,9.563517427911568
United Kingdom,GBR,1514,6.848709876615183
United Kingdom,GBR,1515,15.614664740884049
United Kingdom,GBR,1516,9.247886126292242
United Kingdom,GBR,1517,15.293603313408727
United Kingdom,GBR,1518,13.31823084848761
United Kingdom,GBR,1519,10.869638383810328
United Kingdom,GBR,1520,21.685425882899867
United Kingdom,GBR,1521,17.305530300758555
United Kingdom,GBR,1522,13.42676822914826
United Kingdom,GBR,1523,13.633062502557834
United Kingdom,GBR,1524,7.634976135756527
United Kingdom,GBR,1525,20.46912596190067
United Kingdom,GBR,1526,16.145700184518486
United Kingdom,GBR,1527,18.238527724888137
United Kingdom,GBR,1528,18.43099031738838
United Kingdom,GBR,1529,13.20082341492432
United Kingdom,GBR,1530,26.10350269230018
United Kingdom,GBR,1531,15.484116182856178
United Kingdom,GBR,1532,18.25608323723266
United Kingdom,GBR,1533,20.781521854959628
United Kingdom,GBR,1534,20.266778787515943
United Kingdom,GBR,1535,19.986918070485924
United Kingdom,GBR,1536,16.694197041497013
United Kingdom,GBR,1537,17.349124498343812
United Kingdom,GBR,1538,23.30708896543784
United Kingdom,GBR,1539,19.564413079662806
United Kingdom,GBR,1540,26.624549523649954
United Kingdom,GBR,1541,13.041738174926298
United Kingdom,GBR,1542,19.60728670696281
United Kingdom,GBR,1543,19.981674284211078
United Kingdom,GBR,1544,19.661558667173765
United Kingdom,GBR,1545,24.948228733973036
United Kingdom,GBR,1546,26.130059539399127
United Kingdom,GBR,1547,28.820743801083616
United Kingdom,GBR,1548,54.516492418781006
United Kingdom,GBR,1549,37.44242807374423
United Kingdom,GBR,1550,51.018865234571685
United Kingdom,GBR,1551,27.84429856519372
United Kingdom,GBR,1552,28.71610320620339
United Kingdom,GBR,1553,32.88347668811234
United Kingdom,GBR,1554,21.891503170268958
United Kingdom,GBR,1555,28.26298199237323
United Kingdom,GBR,1556,21.765079582001572
United Kingdom,GBR,1557,18.456897088275408
United Kingdom,GBR,1558,17.252617627370963
United Kingdom,GBR,1559,23.85462084219045
United Kingdom,GBR,1560,34.89125964762486
United Kingdom,GBR,1561,30.658605848808016
United Kingdom,GBR,1562,34.77866401995851
United Kingdom,GBR,1563,30.697377731814925
United Kingdom,GBR,1564,18.690644893928948
United Kingdom,GBR,1565,27.89339257799602
United Kingdom,GBR,1566,29.000790036307507
United Kingdom,GBR,1567,28.291931300332617
United Kingdom,GBR,1568,23.37670208370797
United Kingdom,GBR,1569,29.8669985265829
United Kingdom,GBR,1570,52.32513002213409
United Kingdom,GBR,1571,30.07759090797882
United Kingdom,GBR,1572,34.62285813031544
United Kingdom,GBR,1573,34.571889240440825
United Kingdom,GBR,1574,31.972025749285496
United Kingdom,GBR,1575,42.35651200674989
United Kingdom,GBR,1576,33.75795903486342
United Kingdom,GBR,1577,41.261505932115035
United Kingdom,GBR,1578,40.508737495939314
United Kingdom,GBR,1579,46.835500540537375
United Kingdom,GBR,1580,56.8819942949915
United Kingdom,GBR,1581,51.693023031349796
United Kingdom,GBR,1582,35.7481828782468
United Kingdom,GBR,1583,43.36053989277072
United Kingdom,GBR,1584,45.523931122186056
United Kingdom,GBR,1585,57.295507477426526
United Kingdom,GBR,1586,41.4018008296615
United Kingdom,GBR,1587,39.24947125273408
United Kingdom,GBR,1588,40.78003525128391
United Kingdom,GBR,1589,49.845707550349985
United Kingdom,GBR,1590,56.13724205375408
United Kingdom,GBR,1591,52.02427470878409
United Kingdom,GBR,1592,51.10631879063784
United Kingdom,GBR,1593,35.73456688649923
United Kingdom,GBR,1594,45.2079377917616
United Kingdom,GBR,1595,54.739262392039755
United Kingdom,GBR,1596,51.97306393866707
United Kingdom,GBR,1597,45.156656416176475
United Kingdom,GBR,1598,46.42970057126808
United Kingdom,GBR,1599,48.51081749884275
United Kingdom,GBR,1600,65.31604538087488
United Kingdom,GBR,1601,42.51543991017029
United Kingdom,GBR,1602,51.177241369069264
United Kingdom,GBR,1603,69.84135278316717
United Kingdom,GBR,1604,62.35183464899149
United Kingdom,GBR,1605,56.510601951858874
United Kingdom,GBR,1606,61.258925527207715
United Kingdom,GBR,1607,70.64118767621484
United Kingdom,GBR,1608,54.18878608970202
United Kingdom,GBR,1609,63.32949105216816
United Kingdom,GBR,1610,56.99801160933749
United Kingdom,GBR,1611,54.389001017867606
United Kingdom,GBR,1612,63.24394328019984
United Kingdom,GBR,1613,69.42764211117036
United Kingdom,GBR,1614,62.1157250477928
United Kingdom,GBR,1615,76.20101360870697
United Kingdom,GBR,1616,65.87741223636614
United Kingdom,GBR,1617,58.86847395222096
United Kingdom,GBR,1618,71.34751698214363
United Kingdom,GBR,1619,66.02103761130117
United Kingdom,GBR,1620,78.12877369099752
United Kingdom,GBR,1621,67.66801842409289
United Kingdom,GBR,1622,73.7764144023305
United Kingdom,GBR,1623,69.6791618601635
United Kingdom,GBR,1624,74.59627155382715
United Kingdom,GBR,1625,88.4198661890975
United Kingdom,GBR,1626,55.69554937262781
United Kingdom,GBR,1627,63.34546159785167
United Kingdom,GBR,1628,72.6692825628115
United Kingdom,GBR,1629,67.75779808870303
United Kingdom,GBR,1630,87.64278018078454
United Kingdom,GBR,1631,76.51673596143925
United Kingdom,GBR,1632,65.87264725137811
United Kingdom,GBR,1633,75.27585442107606
United Kingdom,GBR,1634,68.77421216850165
United Kingdom,GBR,1635,85.93937758655932
United Kingdom,GBR,1636,68.34426369979623
United Kingdom,GBR,1637,68.47855621020099
United Kingdom,GBR,1638,74.24358673013153
United Kingdom,GBR,1639,69.43405826744547
United Kingdom,GBR,1640,99.7191563604422
United Kingdom,GBR,1641,261.81640353951235
United Kingdom,GBR,1642,514.2816816254817
United Kingdom,GBR,1643,272.27927825974723
United Kingdom,GBR,1644,173.54160458170225
United Kingdom,GBR,1645,167.81662972004438
United Kingdom,GBR,1646,180.69316670308825
United Kingdom,GBR,1647,243.65365361447778
United Kingdom,GBR,1648,297.7409512064088
United Kingdom,GBR,1649,218.18685470081394
United Kingdom,GBR,1650,192.89707919322072
United Kingdom,GBR,1651,151.9793643003922
United Kingdom,GBR,1652,150.94841515061842
United Kingdom,GBR,1653,176.2402247557345
United Kingdom,GBR,1654,162.27364675271974
United Kingdom,GBR,1655,163.22599438706442
United Kingdom,GBR,1656,158.75002658089784
United Kingdom,GBR,1657,160.3256833969756
United Kingdom,GBR,1658,167.05521962619537
United Kingdom,GBR,1659,258.4642666254995
United Kingdom,GBR,1660,376.955275347238
United Kingdom,GBR,1661,211.74915155469483
United Kingdom,GBR,1662,170.67758987253853
United Kingdom,GBR,1663,175.26330108882775
United Kingdom,GBR,1664,160.8328031532365
United Kingdom,GBR,1665,153.21798764297085
United Kingdom,GBR,1666,117.98010692144902
United Kingdom,GBR,1667,126.83757504546024
United Kingdom,GBR,1668,138.92836340860143
United Kingdom,GBR,1669,135.62318276449977
United Kingdom,GBR,1670,203.5265602988591
United Kingdom,GBR,1671,194.06151410017185
United Kingdom,GBR,1672,221.0098103392935
United Kingdom,GBR,1673,220.26680564788225
United Kingdom,GBR,1674,255.24321726746768
United Kingdom,GBR,1675,248.985633496591
United Kingdom,GBR,1676,228.14203980319522
United Kingdom,GBR,1677,229.9237521985785
United Kingdom,GBR,1678,248.6639377476694
United Kingdom,GBR,1679,311.31185075380523
United Kingdom,GBR,1680,355.3363673849695
United Kingdom,GBR,1681,338.6068571364723
United Kingdom,GBR,1682,325.4094837680803
